#exchange reactions
R001ex	1 C00001[e] <->
R00801[e]	1 C00089[e] + 1 C00001[e] -> 1 C00095[e] + 1 C00031[e]
R10619[e]	1 C00124[e] <-> 1 C00984[e]
R03634[e]	1 C01613[e] + 1 C00001[e] <-> 1 C00492[e] + 1 C00124[e]
R02926[e]	1 C05399[e] + 1 C00001[e] <-> 1 C00794[e] + 1 C00124[e]
R01678[e]	1 C00243[e] + 1 C00001[e] <-> 1 C00267[e] + 1 C00124[e]
R01329[e]	1 C05400[e] + 1 C00001[e] <-> 1 C00159[e] + 1 C00124[e]
R01194[e]	1 C01235[e] + 1 C00001[e] <-> 1 C00137[e] + 1 C00124[e]
R01101[e]	1 C05402[e] + 1 C00001[e] <-> 1 C00124[e] + 1 C00031[e]
R01103[e]	1 C00492[e] + 1 C00001[e] <-> 1 C00124[e] + 1 C00089[e]
#Sphingolipid metabolism
R04019[e]	1 C06126[e] + 1 C00001[e] <-> 1 C02686[e] + 1 C00124[e]
R03355[e]	1 C01290[e] + 1 C00001[e] <-> 1 C01190[e] + 1 C00124[e]
#Inositol Phosphate metabolism
R03371[e]	1 C01204[e] + 1 C00001[e] <-> 1 C04563[e] + 1 C00009[e]
#Tyrosine metabolism
R02382[e]	1 C00483[e] + 1 C00001[e] + 1 C00007[e] <-> 1 C03765[e] + 1 C00014[e] + 1 C00027[e]
#Aminosugar metabolism
R02333[e]	1 C00461[e] + 1 C00001[e] <-> 1 C00734[e] + 1 C00033[e]
#Lipoic Acid Metabolism
R07766[e]	1 C05752[e] + 1 C16240[e] -> 1 C16236[e] + 1 C00229[e]
R07606[e]	1 C00073[e] + 1 C00343[e] + 1 C00001[e] <-> 1 C15999[e] + 1 C00342[e]
R07769[e]	1 C16239[e] + 1 C16240[e] -> 1 C16237[e] + 1 C00229[e]
#Microbial metabolism in diverse environments
R07827[e]	1 C05618[e] + 1 C00007[e] <-> 1 C16266[e]
#Miscellaneous extracellular reactions
R04120[e]	1 C03895[e] + 1 C00342[e] -> 1 C03023[e] + 1 C00343[e] + 1 C00001[e]
R10092[e]	1 C00288[e] + 1 C00080[e] <-> 1 C00011[e] + 1 C00001[e]
R03618[e]	1 C04737[e] + 1 C00001[e] <-> 1 C00124[e] + 1 C01290[e]
R03411[e]	1 C00019[e] + 1 C01229[e] -> 1 C00021[e] + 1 C04340[e]
R03115[e]	1 C00965[e] + 1 C00001[e] <-> 1 C00267[e]
R02857[e]	1 C16487[e] + 1 C00160[e] -> 1 C06108[e] + 1 C00001[e]
R02336[e]	1 C01812[e] + 1 C00001[e] <-> 1 C00160[e] + 1 C00462[e]
R01853[e]	1 C00375[e] + 1 C00001[e] + 1 C00007[e] <-> 1 C00071[e] + 1 C00014[e] + 1 C00027[e]
R01100[e]	1 C00243[e] + 1 C00001[e] -> 1 C00031[e] + 1 C00124[e]
R01010[e]	1 C00111[e] + 1 C00001[e] -> 1 C00184[e] + 1 C00009[e]
R06154[e]	1 C00218[e] + 1 C00007[e] + 1 C00001[e] <-> 1 C00067[e] + 1 C00014[e] + 1 C00027[e]
R05334[e]	1 C02723[e] + 1 C00007[e] + 1 C00001[e] <-> 1 C10974[e] + 1 C00027[e] + 1 C00014[e]
#Transport reactions
R400t	1 C04253[c] <- 1 C04253[om]
R401t	1 C04253[om] <- 1 C04253[im]
R402t	1 C04570[im] <- 1 C04570[om]
R403t	1 C04570[om] <- 1 C04570[c]
R001t	1 C00033[e] -> 1 C00033[c]
R002t	1 C00031[e] -> 1 C00031[c]
R005t	1 C00047[e] -> 1 C00047[c]
R003t	1 C00149[c] + 1 C00322[om] <-> 1 C00149[om] + 1 C00322[c] 
R004t	1 C00149[om] + 1 C00322[im] <-> 1 C00149[im] + 1 C00322[om]
R013t	1 C00008[c] + 1 C00002[om] -> 1 C00008[om] + 1 C00002[c] 
R014t	1 C00008[om] + 1 C00002[im] -> 1 C00008[im] + 1 C00002[om] 
R015t	1 C00026[c] + 1 C00158[om] <-> 1 C00026[om] + 1 C00158[c] 
R016t	1 C00026[om] + 1 C00158[im] <-> 1 C00026[im] + 1 C00158[om] 
R020t	1 C00049[om] + 1 C00025[c] <-> 1 C00049[c] + 1 C00025[om] 
R021t	1 C00049[im] + 1 C00025[om] <-> 1 C00049[om] + 1 C00025[im] 
R023t	1 C00149[om] + 1 C00158[c] <-> 1 C00149[c] + 1 C00158[om] 
R024t	1 C00149[im] + 1 C00158[om] <-> 1 C00149[om] + 1 C00158[im] 
R025t	1 C00158[c] + 1 C00074[om] <-> 1 C00158[om] + 1 C00074[c] 
R026t	1 C00158[om] + 1 C00074[im] <-> 1 C00158[im] + 1 C00074[om] 
R027t	1 C00158[c] + 1 C00311[om] <-> 1 C00158[om] + 1 C00311[c] 
R028t	1 C00158[om] + 1 C00311[im] <-> 1 C00158[im] + 1 C00311[om] 
R029t	1 C00010[c] <-> 1 C00010[om] 
R030t	1 C00010[om] <-> 1 C00010[im] 
R031t	1 C00055[om] + 1 C00063[c] + 1 C00080[c] <-> 1 C00055[c] + 1 C00063[om] + 1 C00080[om] 
R032t	1 C00055[im] + 1 C00063[om] + 1 C00080[om] <-> 1 C00055[om] + 1 C00063[im] + 1 C00080[im] 
R038t	1 C00256[c] + 1 C00080[c] <-> 1 C00256[om] + 1 C00080[om] 
R039t	1 C00256[om] + 1 C00080[om] <-> 1 C00256[im] + 1 C00080[im] 
R040t	1 C00159[e] + 1 C00080[e] <-> 1 C00159[c] + 1 C00080[c] 
R045t	1 C01352[om] <-> 1 C01352[c] 
R046t	1 C01352[im] <-> 1 C01352[om] 
R074t	1 C00186[c] <-> 1 C00186[om] 
R075t	1 C00186[om] <-> 1 C00186[im] 
R079t	1 C00080[e] + 1 C00073[e] <-> 1 C00080[c] + 1 C00073[c] 
R082t	1 C00080[e] + 1 C00065[e] <-> 1 C00080[c] + 1 C00065[c] 
R088t	1 C00149[c] + 1 C00009[om] <-> 1 C00149[om] + 1 C00009[c] 
R089t	1 C00149[om] + 1 C00009[im] <-> 1 C00149[im] + 1 C00009[om] 
R090t	1 C00080[e] + 1 C00208[e] <-> 1 C00080[c] + 1 C00208[c] 
R095t	1 C00020[om] + 1 C00003[c] <-> 1 C00020[c] + 1 C00003[om]
R096t	1 C00020[im] + 1 C00003[om] <-> 1 C00020[om] + 1 C00003[im] 
R097t	1 C00362[om] + 1 C00003[c] <-> 1 C00362[c] + 1 C00003[om]
R098t	1 C00362[im] + 1 C00003[om] <-> 1 C00362[om] + 1 C00003[im] 
R100t	1 C00080[c] + 1 C01602[om] <-> 1 C00080[om] + 1 C01602[c]
R101t	1 C00080[om] + 1 C01602[im] <-> 1 C00080[im] + 1 C01602[om] 
R103t	1 C00080[c] + 1 C00036[c] <-> 1 C00080[om] + 1 C00036[om] 
R104t	1 C00080[om] + 1 C00036[om] <-> 1 C00080[im] + 1 C00036[im] 
R106t	1 C04217[c] <-> 1 C04217[om] 
R107t	1 C04217[om] <-> 1 C04217[im] 
R109t	1 C00080[e] + 1 C00009[e] <-> 1 C00080[c] + 1 C00009[c] 
R110t	1 C00080[c] + 1 C00009[c] -> 1 C00080[om] + 1 C00009[om] 
R111t	1 C00080[om] + 1 C00009[om] -> 1 C00080[im] + 1 C00009[im] 
R115t	1 C00080[e] + 1 C00019[e] <-> 1 C00080[c] + 1 C00019[c] 
R116t	1 C00019[c] <-> 1 C00019[om] 
R117t	1 C00019[om] <-> 1 C00019[im] 
R120t	1 C00009[om] + 1 C00042[c] <-> 1 C00009[c] + 1 C00042[om] 
R121t	1 C00009[im] + 1 C00042[om] <-> 1 C00009[om] + 1 C00042[im]
R122t	1 C00122[om] + 1 C00042[c] <-> 1 C00122[c] + 1 C00042[om] 
R123t	1 C00122[im] + 1 C00042[om] <-> 1 C00122[om] + 1 C00042[im] 
R126t	1 C00363[c] <-> 1 C00363[om]
R127t	1 C00363[om] <-> 1 C00363[im] 
R132t	1 C00061[om] + 1 C00080[c] + 1 C00105[om] + 1 C00075[c] <-> 1 C00061[c] + 1 C00080[om] + 1 C00105[c] + 1 C00075[om] 
R133t	1 C00061[im] + 1 C00080[om] + 1 C00105[im] + 1 C00075[om] <-> 1 C00061[om] + 1 C00080[im] + 1 C00105[om] + 1 C00075[im] 
R134t	1 C00965[e] <-> 1 C00965[c] 
R136t	1 C00966[c] <-> 1 C00966[om] 
R137t	1 C00966[om] <-> 1 C00966[im]
R139t	1 C02504[c] <-> 1 C02504[om] 
R140t	1 C02504[om] <-> 1 C02504[im] 
R142t	1 C02223[c] <-> 1 C02223[om] 
R143t	1 C02223[om] <-> 1 C02223[im]
R144t	1 C00109[c] <-> 1 C00109[om] 
R145t	1 C00109[om] <-> 1 C00109[im]  
R147t	1 C05853[e] <-> 1 C05853[c] 
R148t	1 C05853[om] <-> 1 C05853[c]
R149t	1 C05853[im] <-> 1 C05853[om]
R150t	1 C04236[c] <-> 1 C04236[om] 
R151t	1 C04236[om] <-> 1 C04236[im]
R152t	1 C00671[c] <-> 1 C00671[om] 
R153t	1 C00671[om] <-> 1 C00671[im] 
R157t	1 C13425[c] <-> 1 C13425[om] 
R158t	1 C13425[om] <-> 1 C13425[im]
R159t	1 C00568[c] <-> 1 C00568[e] 
R160t	1 C00568[c] <-> 1 C00568[om] 
R161t	1 C00568[om] <-> 1 C00568[im] 
R162t	1 C00555[c] <-> 1 C00555[om] 
R163t	1 C00555[om] <-> 1 C00555[im] 
R164t	1 C00334[c] <-> 1 C00334[om] 
R165t	1 C00334[om] <-> 1 C00334[im] 
R166t	1 C01127[c] <-> 1 C01127[om] 
R167t	1 C01127[om] <-> 1 C01127[im] 
R168t	1 C00156[c] <-> 1 C00156[om] 
R169t	1 C00156[om] <-> 1 C00156[im]
R170t	1 C00430[c] <-> 1 C00430[om] 
R171t	1 C00430[om] <-> 1 C00430[im] 
R172t	1 C01037[e] <-> 1 C01037[c] 
R173t	1 C00084[om] <-> 1 C00084[c]
R174t	1 C00084[im] <-> 1 C00084[om] 
R175t	1 C00084[e] <-> 1 C00084[c] 
R176t	1 C00147[c] <-> 1 C00147[om] 
R177t	1 C00147[om] <-> 1 C00147[im] 
R181t	1 C00080[c] + 1 C00062[c] <-> 1 C00080[om] + 1 C00062[om] 
R182t	1 C00080[om] + 1 C00062[om] <-> 1 C00080[im] + 1 C00062[im] 
R183t	1 C00080[e] + 1 C00064[e] <-> 1 C00080[c] + 1 C00064[c] 
R184t	1 C00152[c] <-> 1 C00152[om] 
R185t	1 C00152[om] <-> 1 C00152[im] 
R189t	1 C00011[c] -> 1 C00011[e] 
R190t	1 C00011[om] -> 1 C00011[c]
R191t	1 C00011[im] -> 1 C00011[om]
R194t	1 C00279[c] <-> 1 C00279[om] 
R195t	1 C00279[om] <-> 1 C00279[im] 
R203t	1 C04874[c] <-> 1 C04874[om] 
R204t	1 C04874[om] <-> 1 C04874[im] 
R205t	1 C00415[c] <-> 1 C00415[om] 
R206t	1 C00415[om] <-> 1 C00415[im]
R207t	1 C00921[c] <-> 1 C00921[om] 
R208t	1 C00921[om] <-> 1 C00921[im]
R209t	1 C00111[om] <-> 1 C00111[c]
R210t	1 C00111[im] <-> 1 C00111[om]
R211t	1 C00110[c] <-> 1 C00110[e] 
R212t	1 C05440[c] <-> 1 C05440[e] 
R214t	1 C00469[c] <-> 1 C00469[e] 
R215t	1 C00469[c] <-> 1 C00469[om] 
R216t	1 C00469[om] <-> 1 C00469[im]
R220t	1 C00058[om] <-> 1 C00058[c] 
R221t	1 C00058[im] <-> 1 C00058[om] 
R224t	1 C00037[c] <-> 1 C00037[om] 
R225t	1 C00037[om] <-> 1 C00037[im] 
R226t	1 C00266[c] <-> 1 C00266[om] 
R227t	1 C00266[om] <-> 1 C00266[im] 
R228t	1 C00266[e] <-> 1 C00266[c] 
R230t	1 C00242[c] <-> 1 C00242[om] 
R231t	1 C00242[om] <-> 1 C00242[im] 
R232t	1 C00387[c] <-> 1 C00387[om] 
R233t	1 C00387[om] <-> 1 C00387[im] 
R234t	1 C00387[e] <-> 1 C00387[c] 
R236t	1 C08362[e] <-> 1 C08362[c] 
R237t	1 C00135[c] <-> 1 C00135[om] 
R238t	1 C00135[om] <-> 1 C00135[im] 
R239t	1 C00356[c] <-> 1 C00356[om] 
R240t	1 C00356[om] <-> 1 C00356[im] 
R241t	1 C00262[e] <-> 1 C00262[c] 
R242t	1 C00637[c] <-> 1 C00637[om] 
R243t	1 C00637[om] <-> 1 C00637[im] 
R244t	1 C00637[c] <-> 1 C00637[e] 
R245t	1 C00954[c] <-> 1 C00954[om] 
R246t	1 C00954[om] <-> 1 C00954[im] 
R247t	1 C00294[e] <-> 1 C00294[c] 
R248t	1 C14710[c] <-> 1 C14710[e] 
R249t	1 C14710[c] <-> 1 C14710[om] 
R250t	1 C14710[om] <-> 1 C14710[im]
R251t	1 C00041[om] <-> 1 C00041[c]
R252t	1 C00041[im] <-> 1 C00041[om] 
R255t	1 C00318[om] <-> 1 C00318[c] 
R256t	1 C00318[im] <-> 1 C00318[om] 
R258t	1 C00407[om] <-> 1 C00407[c]
R259t	1 C00407[im] <-> 1 C00407[om] 
R261t	1 C00148[c] <-> 1 C00148[om] 
R262t	1 C00148[om] <-> 1 C00148[im]
R266t	1 C00047[c] <-> 1 C00047[om] 
R267t	1 C00047[om] <-> 1 C00047[im] 
R268t	1 C00464[c] <-> 1 C00464[e] 
R269t	1 C00073[om] <-> 1 C00073[c] 
R270t	1 C00073[im] <-> 1 C00073[om] 
R275t	1 C00455[e] <-> 1 C00455[c] 
R276t	1 C02571[c] <-> 1 C02571[om] 
R277t	1 C02571[om] <-> 1 C02571[im] 
R278t	1 C00007[e] -> 1 C00007[c]
R279t	1 C00007[c] -> 1 C00007[om] 
R280t	1 C00007[om] -> 1 C00007[im] 
R282t	1 C00036[c] <-> 1 C00036[e] 
R283t	1 C00154[c] <-> 1 C00154[e] 
R284t	1 C01134[c] <-> 1 C01134[om] 
R285t	1 C01134[om] <-> 1 C01134[im] 
R286t	1 C00601[c] <-> 1 C00601[e] 
R287t	1 C00601[c] <-> 1 C00601[om] 
R288t	1 C00601[om] <-> 1 C00601[im] 
R289t	1 C00079[c] <-> 1 C00079[om] 
R290t	1 C00079[om] <-> 1 C00079[im] 
R291t	1 C01079[c] <-> 1 C01079[om] 
R292t	1 C01079[om] <-> 1 C01079[im] 
R293t	1 C00119[c] <-> 1 C00119[om] 
R294t	1 C00119[om] <-> 1 C00119[im] 
R295t	1 C00013[c] <-> 1 C00013[om] 
R296t	1 C00013[om] <-> 1 C00013[im] 
R297t	1 C00080[c] + 1 C00022[c] <-> 1 C00080[om] + 1 C00022[om] 
R298t	1 C00080[om] + 1 C00022[om] <-> 1 C00080[im] + 1 C00022[im] 
R299t	1 C03722[c] <-> 1 C03722[om] 
R300t	1 C03722[om] <-> 1 C03722[im] 
R305t	1 C00021[c] <-> 1 C00021[om] 
R306t	1 C00021[om] <-> 1 C00021[im]
R307t	1 C00065[c] <-> 1 C00065[om] 
R308t	1 C00065[om] <-> 1 C00065[im]  
R313t	1 C00188[c] <-> 1 C00188[om] 
R314t	1 C00188[om] <-> 1 C00188[im] 
R316t	1 C00080[c] + 1 C01083[c] <-> 1 C00080[e] + 1 C01083[e] 
R317t	1 C00078[c] <-> 1 C00078[om] 
R318t	1 C00078[om] <-> 1 C00078[im] 
R319t	1 C00955[c] <-> 1 C00955[e] 
R320t	1 C00955[c] <-> 1 C00955[om] 
R321t	1 C00955[om] <-> 1 C00955[im]
R322t	1 C00082[c] <-> 1 C00082[om] 
R323t	1 C00082[om] <-> 1 C00082[im] 
R324t	1 C00183[c] <-> 1 C00183[om] 
R325t	1 C00183[om] <-> 1 C00183[im] 
R339t	1 C00001[e] <-> 1 C00001[c] 
R340t	1 C00001[c] <-> 1 C00001[om]
R341t	1 C00001[om] <-> 1 C00001[im]
R343t	1 C00014[e] <-> 1 C00014[c]
R344t	1 C00014[c] -> 1 C00014[om]
R345t	1 C00014[om] -> 1 C00014[im]
R346t	1 C00089[e] <-> 1 C00089[c] 
R347t	1 C01356[im] <-> 1 C01356[om]
R348t	1 C01356[om] <-> 1 C01356[c]
R349t	1 C00510[c] <-> 1 C00510[om]
R350t	1 C00510[om] <-> 1 C00510[im]
R351t	1 C00412[im] <-> 1 C00412[om]
R352t	1 C00412[om] <-> 1 C00412[c]
R353t	1 C00059[e] <-> 1 C00059[c]
R354t	1 C00475[c] <-> 1 C00475[om]
R355t	1 C00475[om] <-> 1 C00475[im]
R356t	1 C00460[c] <-> 1 C00460[om]
R357t	1 C00460[om] <-> 1 C00460[im]
R358t	1 C00999[c] <-> 1 C00999[om]
R359t	1 C00999[om] <-> 1 C00999[im]
R360t	1 C00458[c] <-> 1 C00458[om]
R361t	1 C00458[om] <-> 1 C00458[im]
R362t	1 C00206[c] <-> 1 C00206[om]
R363t	1 C00206[om] <-> 1 C00206[im]
R364t	1 X00001[c] <-> 1 X00001[e]
R365t	1 C00016[om] -> 1 C00016[c] 
R366t	1 C00016[im] ->  C00016[om]
R369t	1 C00283[c] <-> 1 C00283[om]
R370t	1 C00283[om] <-> 1 C00283[im]
R371t	1 C05335[c] -> 1 C05335[om]
R372t	1 C05335[om] -> 1 C05335[im]
R373t	1 C05689[c] -> 1 C05689[om]
R374t	1 C05689[om] -> 1 C05689[im]
R375t	1 C01528[c] <-> 1 C01528[om]
R376t	1 C01528[om] <-> 1 C01528[im]
R377t	1 C00116[e] <-> 1 C00116[c]
R378t	1 C00015[e] <-> 1 C00015[c]
R379t	1 C00093[im] -> 1 C00093[om]
R380t	1 C00093[om] -> 1 C00093[c]
R382t	1 X00002[c] -> 1 X00002[e]
R383t	1 C00996[im] -> 1 C00996[om]
R384t	1 C00996[om] -> 1 C00996[c]
R385t	1 C00459[c] <-> 1 C00459[om]
R386t	1 C00459[om] <-> 1 C00459[im]
R387t	1 C00140[c] -> 1 C00140[e]
R388t	1 C01356[c] -> 1 C01356[e]
R389t	1 C00355[c] -> 1 C00355[e]
R390t	1 C00017[c] -> 1 C00017[e]
R391t	1 C00140[c] -> 1 C00140[e]
R392t	1 C00461[c] -> 1 C00461[e]
R399t	1 C00263[e] <-> 1 C00263[c]
R502t	1 C00366[c] -> 1 C00366[e] 
#added from first round of OptFill
R01697[c]	1 C00794[c] + 1 C00006[c] <-> 1 C00247[c] + 1 C00005[c] + 1 C00080[c]
R02925[c]	1 C00794[c] + 1 C00016[c] <- 1 C01352[c] + 1 C00247[c]
R00711[im]	1 C00084[im] + 1 C00006[im] + 1 C00001[im] <-> 1 C00033[im] + 1 C00005[im] + 1 C00080[im]
R00648[c]	1 C00073[c] + 1 C00001[c] + 1 C00007[c] <-> 1 C01180[c] + 1 C00014[c] + 1 C00027[c]
R00648[im]	1 C00073[im] + 1 C00001[im] + 1 C00007[im] <-> 1 C01180[im] + 1 C00014[im] + 1 C00027[im]
R02197[im]	1 C00407[im] + 1 C00001[im] + 1 C00007[im] <-> 1 C00671[im] + 1 C00014[im] + 1 C00027[im]
R01915[c]	1 C00315[c] + 1 C00006[c] + 1 C00001[c] <-> 1 C00986[c] + 1 C00555[c] + 1 C00005[c] + 1 C00080[c]
R00946[c]	1 C00440[c] + 1 C00155[c] <-> 1 C00101[c] + 1 C00073[c]
R02111[c]	1 C00369[c] + 1 C00009[c] <-> 1 C00718[c] + 1 C00103[c]
R01287[c]	1 C01077[c] + 1 C00283[c] <-> 1 C00155[c] + 1 C00033[c]
R04859[c]	1 C00979[c] + 1 C00320[c] + 1 C00342[c] + 1 C00080[c] <-> 1 C00097[c] + 1 C00094[c] + 1 C00343[c] + 1 C00033[c]
R07396[im]	1 C01180[im] + 1 C00025[im] <-> 1 C00073[im] + 1 C00026[im]
R03469[c]	1 C00002[c] + 1 C01277[c] <-> 1 C00008[c] + 1 C04637[c]
R01131[c]	1 C00002[c] + 1 C00294[c] <-> 1 C00008[c] + 1 C00130[c]
R01321[c]	1 C00307[c] + 1 C00641[c] <-> 1 C00055[c] + 1 C00157[c]
R03115[c]	1 C00965[c] + 1 C00001[c] <-> 1 C00267[c]
R00944[c]	1 C00234[c] + 1 C00001[c] <-> 1 C00058[c] + 1 C00101[c]
R00328[c]	1 C00035[c] + 1 C00001[c] <-> 1 C00144[c] + 1 C00009[c]
R00432[im]	1 C00044[im] + 1 C00042[im] + 1 C00010[im] <-> 1 C00035[im] + 1 C00009[im] + 1 C00091[im]
R02405[im]	1 C00044[im] + 1 C00490[im] + 1 C00010[im] <-> 1 C00035[im] + 1 C00009[im] + 1 C00531[im]
#added from second round of OptFill
R05576[c]	1 C05116[c] + 1 C00006[c] <-> 1 C00332[c] + 1 C00005[c] + 1 C00080[c]
R09375[c]	1 C01304[c] + 1 C00004[c] + 1 C00080[c] <-> 1 C18910[c] + 1 C00003[c]
R01352[c]	1 C02112[c] + 1 C00001[c] <-> 1 C00116[c] + 1 C00162[c]
#added from third round of optfill
R00625[c]	1 C00226[c] + 1 C00006[c] <- 1 C00071[c] + 1 C00005[c] + 1 C00080[c]
R01093[c]	1 C00124[c] + 1 C00004[c] + 1 C00080[c] <-> 1 C01697[c] + 1 C00003[c]
R01758[c]	1 C00532[c] + 1 C00003[c] <-> 1 C00259[c] + 1 C00004[c] + 1 C00080[c]
R01095[c]	1 C00124[c] + 1 C00005[c] + 1 C00080[c] -> 1 C01697[c] + 1 C00006[c]
R01431[c]	1 C00379[c] + 1 C00006[c] <-> 1 C00181[c] + 1 C00005[c] + 1 C00080[c]
R01759[c]	1 C00532[c] + 1 C00006[c] <- 1 C00259[c] + 1 C00005[c] + 1 C00080[c]
R09477[c]	1 C00379[c] + 1 C00003[c] -> 1 C00181[c] + 1 C00004[c] + 1 C00080[c]
R02536[c]	1 C00601[c] + 1 C00003[c] + 1 C00001[c] -> 1 C07086[c] + 1 C00004[c] + 1 C00080[c]
R02695[c]	1 C03765[c] + 1 C00003[c] + 1 C00001[c] -> 1 C00642[c] + 1 C00004[c] + 1 C00080[c]
R03300[c]	1 C04043[c] + 1 C00003[c] + 1 C00001[c] -> 1 C01161[c] + 1 C00004[c] + 1 C00080[c]
R02537[c]	1 C00601[c] + 1 C00006[c] + 1 C00001[c] <-> 1 C07086[c] + 1 C00005[c] + 1 C00080[c]
R02697[c]	1 C03765[c] + 1 C00006[c] + 1 C00001[c] <-> 1 C00642[c] + 1 C00005[c] + 1 C00080[c]
R04883[c]	1 C05577[c] + 1 C00006[c] + 1 C00001[c] <- 1 C05580[c] + 1 C00005[c] + 1 C00080[c]
R02989[c]	1 C00846[c] + 1 C00006[c] <-> 1 C02222[c] + 1 C00005[c] + 1 C00080[c]
R04096[c]	1 C02939[c] + 1 C04253[c] <-> 1 C03069[c] + 1 C04570[c]
R04095[c]	1 C02939[c] + 1 C00016[c] <-> 1 C03069[c] + 1 C01352[c]
R09077[c]	1 C00315[c] + 1 C00007[c] + 1 C00001[c] <-> 1 C00134[c] + 1 C05665[c] + 1 C00027[c]
R01216[c]	1 C00966[c] <-> 1 C00141[c] + 1 C00067[c]
R09380[c]	1 C00173[c] + 1 C00093[c] -> 1 C00681[c] + 1 C00229[c]
R01155[c]	1 C00134[c] + 1 C00026[c] <- 1 C00555[c] + 1 C00025[c]
#added to try to fix C07330[c], C04489[c], 1 C04144[c]
rxn11944[c]	1 C00021[c] + 1 C00080[c] + 1 C04489[c] <-> 1 C00019[c] + 1 C04144[c]
R05708[c]	1 C04083[c] + 1 C00001[c] + 1 C00006[c] <-> 1 C00147[c] + 1 C07330[c] + 1 C00005[c] + 1 C00080[c]
R08072[c]	1 C16427[c] + 1 C00001[c] <-> 1 C04083[c] + 1 C00121[c]
R08069[c]	1 C04713[c] + 1 C00001[c] <-> 1 C16427[c] + 1 C00009[c]
R04038[c]	1 C00235[c] + 1 C00020[c] <-> 1 C00013[c] + 1 C04713[c]
#added to try to fix CoA synthesis having irregular shadow cost with some precursors having positive shadow cost
#this first block is reactions related to the hydrolysis of energy molecules
R00569[c]	1 C00063[c] + 1 C00001[c] -> 1 C00112[c] + 1 C00009[c]
R00086[c]	1 C00002[c] + 1 C00001[c] -> 1 C00008[c] + 1 C00009[c]
R00335[c]	1 C00044[c] + 1 C00001[c] -> 1 C00035[c] + 1 C00009[c]
R02095[c]	1 C00459[c] + 1 C00001[c] -> 1 C00363[c] + 1 C00009[c]
R00159[c]	1 C00075[c] + 1 C00001[c] -> 1 C00015[c] + 1 C00009[c]
R00514[c]	1 C00112[c] + 1 C00001[c] -> 1 C00055[c] + 1 C00009[c]
R00122[c]	1 C00008[c] + 1 C00001[c] -> 1 C00020[c] + 1 C00009[c]
R02092[c]	1 C00363[c] + 1 C00001[c] -> 1 C00364[c] + 1 C00009[c]
R00155[c]	1 C00015[c] + 1 C00001[c] -> 1 C00105[c] + 1 C00009[c]
R00113[c]	1 C00027[c] + 1 C00005[c] + 1 C00080[c] -> 1 C00006[c] + 2 C00001[c]
R00090[c]	1 C00027[c] + 1 C00004[c] + 1 C00080[c] -> 1 C00003[c] + 2 C00001[c]
R09748[c]	1 C01352[c] + 1 C00003[c] -> 1 C00016[c] + 1 C00004[c] + 1 C00080[c]
R01195[c]	2 C00139[c] + 1 C00005[c] -> 2 C00138[c] + 1 C00006[c] + 1 C00080[c]
R01667[c]	1 C00705[c] + 1 C00001[c] -> 1 C00239[c] + 1 C00009[c]
R02163[c]	1 C00390[c] + 1 C00003[c] -> 1 C00399[c] + 1 C00004[c] + 1 C00080[c]
R00936[c]	1 C00101[c] + 1 C00003[c] -> 1 C00415[c] + 1 C00004[c] + 1 C00080[c]
#This block is related to taurine and hypotaurine metabolism, which appears to be essential when
#creating output metabolites for getting rid of excess/waste nitrogen and/or sulfur
#these first two reactions were already present, but relocated here during curation
R02466[c]	1 C00606[c] <-> 1 C00519[c] + 1 C00011[c]
R05320[c]	1 C00245[c] + 1 C00026[c] + 1 C00007[c] <-> 1 C00094[c] + 1 C06735[c] + 1 C00042[c] + 1 C00011[c]
#these reactions were not yet present in the model
R02434[c]	1 C00506[c] + 1 C00004[c] + 1 C00080[c] <- 1 C00606[c] + 1 C00001[c] + 1 C00003[c]
R01682[c]	1 C00506[c] -> 1 C00245[c] + 1 C00011[c]
R10984[c]	1 C00065[c] + 1 C00006[c] <-> 1 C06735[c] + 1 C00011[c] + 1 C00005[c] + 1 C00080[c]
R02474[c]	1 C00864[c] + 1 C00001[c] -> 1 C00522[c] + 1 C00099[c]
R02971[c]	1 C01134[c] + 1 C00008[c] -> 1 C00002[c] + 1 C00831[c]
R02973[c]	1 C00831[c] + 1 C00001[c] -> 1 C00864[c] + 1 C01678[c]
R02467[c]	1 C01678[c] + 1 C00007[c] -> 1 C00519[c]
R01685[c]	1 C00245[c] + 1 C00001[c] + 2 C00125[c] <-> 1 C00593[c] + 1 C00014[c] + 2 C00126[c] + 2 C00080[c]
R05651[c]	1 C00593[c] + 1 C00009[c] <-> 1 C00227[c] + 1 C00094[c]
R10747[c]	1 C00010[c] + 1 C00001[c] -> 1 C01134[c] + 1 C00054[c]
R09379[c]	1 C00002[c] + 1 C18911[c] + 1 C00099[c] <- 1 C00020[c] + 1 C00013[c] + 1 C03492[c]
R02269[c]	1 C00429[c] + 1 C00001[c] <- 1 C02642[c]
R00905[c]	1 C02642[c] + 1 C00001[c] <- 1 C00099[c] + 1 C00011[c] + 1 C00014[c]
R00978[c]	1 C00429[c] + 1 C00006[c] -> 1 C00106[c] + 1 C00005[c] + 1 C00080[c]
R09378[c]	1 C00002[c] + 1 C00522[c] <- 1 C00008[c] + 1 C18911[c]
