#exchange reactions
R001ex	1 h2o[e] <->
R04190[c]	1 amet[c] + 1 C03306[c] <-> 1 ahcys[c] + 1 C04311[c]
R04216[c]	1 C04213[c] + 1 C03021[c] <-> 1 doldp[c] + 1 C11572[c]
R04273[c]	1 C03798[c] <-> 1 C03633[c]
R04294[c]	1 C04232[c] + 1 trdox[c] + 1 h2o[c] <-> 1 C03723[c] + 1 trdrd[c]
R04314[c]	1 C04250[c] + 1 C02743[c] <-> 1 C03800[c] + 1 C11475[c]
R04316[c]	1 accoa[c] + 1 C03803[c] <-> 1 coa[c] + 1 C04341[c]
R04318[c]	1 C16672[c] <-> 1 peng[c] + 1 h2o[c]
R04437[c]	1 C07282[c] + 1 nad[c] + 1 o2[c] <-> 1 C04679[c] + 1 nadh[c] + 1 h2o[c]
R04482[c]	1 C05364[c] <-> 1 C04324[c]
GLCNACT_cho1	1 uacgam[c] + 1 naglc2p[c] <-> 1 udp[c] + 1 chito2pdol[c]
R04586[c]	1 C04884[c] + 1 h2o[c] <-> 1 C04730[c] + 1 acgal[c]
R04671[c]	1 C05110[c] <-> 1 C05111[c]
R04805[c]	1 C05444[c] + 1 nad[c] <-> 1 C05445[c] + 1 nadh[c] + 1 h[c]
R04868[c]	1 C05557[c] + 1 phaccoa[c] + 1 h2o[c] <-> 1 peng[c] + 1 L2aadp[c] + 1 coa[c]
R04928[c]	1 atp[c] + 1 C05686[c] <-> 1 adp[c] + 1 C05696[c]
SELCYSTS1	1 ser__L[c] + 1 selhcys[c] <-> 1 selcyst[c] + 1 h2o[c]
R04945[c]	1 achms[c] + 1 selcys[c] <-> 1 selcyst[c] + 1 ac[c]
R04949[c]	1 C05713[c] + 1 h2o[c] <-> 1 C05712[c] + 1 glc__D[c]
CYTP450R1	1 cytP450o[c] + 1 nadph[c] <-> 1 cytP450r[c] + 1 nadp[c] + 1 h[c]
R05197[c]	1 atp[c] + 1 C05928[c] + 1 glu__L[c] <-> 1 adp[c] + 1 pi[c] + 1 C05929[c]
R05334[c]	1 nmptrc[c] + 1 o2[c] + 1 h2o[c] <-> 1 C10974[c] + 1 h2o2[c] + 1 nh4[c]
R05595[c]	1 b2coa[c] + 1 h2o[c] <-> 1 C05116[c]
R05722[c]	1 C02060[c] + 1 akg[c] + 1 o2[c] <-> 1 C07343[c] + 1 succ[c] + 1 co2[c]
R05755[c]	3 h[c] + 1 amet[c] + 1 aso3[c] <-> 1 ahcys[c] + 1 C07294[c]
ACONMT1	1 amet[c] + 1 acon_T[c] -> 1 ahcys[c] + 1 aconm[c]
R05782[c]	1 C11529[c] + 1 h2o[c] <-> 1 C00151[c] + 1 nh4[c] + 1 co2[c]
DALAOX1	1 ala__D[c] + 1 h2o[c] + 1 o2[c] <-> 1 pyr[c] + 1 nh4[c] + 1 h2o2[c]
R06134[c]	1 C00241[c] + 1 h2o[c] <-> 1 h[c] + 1 Rtotal[c] + 1 nh4[c]
MAOX1	1 mma[c] + 1 o2[c] + 1 h2o[c] <-> 1 fald[c] + 1 nh4[c] + 1 h2o2[c]
R06861[c]	1 xu5p__D[c] + 1 thmpp[c] <-> 1 C13378[c] + 1 g3p[c]
R06863[c]	1 s7p[c] + 1 thmpp[c] <-> 1 C13378[c] + 1 C00117[c]
R07140[c]	1 hmgth[c] + 1 nadp[c] -> 1 Sfglutth[c] + 1 nadph[c] + 1 h[c]
R07285[c]	1 C00066[c] + 1 pi[c] <-> 1 C00454[c]
R07314[c]	1 3hacoa[c] <-> 1 C05067[c] + 1 h2o[c]
CBMD1	1 cbm[c] <-> 1 nh4[c] + 1 co2[c]
R07329[c]	1 C02099[c] + 1 akg[c] + 1 o2[c] <-> 1 C21417[c] + 1 succ[c] + 1 co2[c]
R07330[c]	1 amet[c] + 1 C15571[c] <-> 1 ahcys[c] + 1 C15572[c]
R07360[c]	1 C06751[c] + 1 o2[c] + 1 h2o[c] <-> 1 C15604[c] + 1 cys__L[c] + 1 h2o2[c]
R07627[c]	1 C16014[c] + 1 h2o[c] <-> 1 C16015[c]
R08539[c]	1 nadph[c] + 2 ficytb5[c] -> 1 h[c] + 1 nadp[c] + 2 focytb5[c]
R08551[c]	1 C03161[c] + 1 nadph[c] + 1 h[c] <-> 1 C03024[c] + 1 nadp[c]
R08575[c]	1 s7p[c] + 1 g3p[c] <-> 1 e4p[c] + 1 C00085[c]
R08602[c]	1 C17202[c] + 1 h2o[c] <-> 1 hdca[c] + 1 C02743[c]
R08707[c]	1 C04375[c] + 1 h2o[c] <-> 1 C01239[c] + 1 C02871[c]
R09381[c]	1 C00173[c] + 1 1ag3p_SC[c] <-> 1 ACP[c] + 1 pa_EC[c]
CYNTAH1	1 cynt[c] + 1 hco3[c] + 1 h[c] -> 1 nh4[c] + 2 co2[c]
R10092[c]	1 hco3[c] + 1 h[c] <-> 1 co2[c] + 1 h2o[c]
R10159[c]	2 adfdRD[c] + 1 nadp[c] + 1 h[c] <-> 2 C00667[c] + 1 nadph[c]
R10209[c]	1 C01977[c] + 1 preq1[c] <-> 1 C20446[c] + 1 gua[c]
R10267[c]	1 adp[c] + 1 C04856[c] <-> 1 amp[c] + 1 pi[c] + 1 nadh[c]
R10268[c]	1 adp[c] + 1 C04899[c] <-> 1 amp[c] + 1 pi[c] + 1 nadph[c]
R10484[c]	1 pmtcoa[c] + 1 C02743[c] <-> 1 C17202[c] + 1 coa[c]
R10813[c]	1 C00201[c] <-> 1 C20864[c] + 1 ppi[c]
R10845[c]	1 C20895[c] + 1 akg[c] <-> 1 C20646[c] + 1 glu__L[c]
R10951[c]	1 atp[c] + 1 pail_cho[c] <-> 1 adp[c] + 1 pail5p_cho[c]
R10953[c]	1 atp[c] + 1 C01272[c] <-> 1 adp[c] + 1 C01284[c]
R11231[c]	1 thp2c[c] + 1 nad[c] + 2 h2o[c] -> 1 L2aadp[c] + 1 nadh[c] + 1 h[c]
R11232[c]	1 thp2c[c] + 1 nadp[c] + 2 h2o[c] -> 1 L2aadp[c] + 1 nadph[c] + 1 h[c]
R11399[c]	1 dolmanp[c] + 1 C19803[c] <-> 1 C00110[c] + 1 C20722[c]
R11500[c]	1 C21418[c] + 1 nadp[c] <-> 1 C21417[c] + 1 nadph[c] + 1 h[c]
R00157[c]	1 utp[c] + 1 amp[c] <-> 1 udp[c] + 1 adp[c]
R00390[c]	1 atp[c] + 1 C00347[c] + 1 coa[c] -> 1 amp[c] + 1 ppi[c] + 1 accoa[c]
R00381[c]	1 atp[c] + 1 C02128[c] -> 1 amp[c] + 1 ppi[c]
R00900[c]	1 h[c] + 1 cys__L[c] + 1 gthrd[c] + 1 nadp[c] <-> 1 C05526[c] + 1 nadph[c]
R11104[c]	1 nadh[c] + 1 h2o[c] <-> 1 amp[c] + 1 C21113[c]
ACPh1	1 13dpg[c] + 1 h2o[c] -> 1 3pg[c] + 1 pi[c]
R02515[c]	1 3hoxpac[c] + 1 o2[c] + 1 nadh[c] + 1 h[c] -> 1 hgentis[c] + 1 nad[c] + 1 h2o[c]
R04672[c]	1 alac__S[c] + 1 thmpp[c] <-> 1 2ahethmpp[c] + 1 pyr[c]
SELCYSTGL1	1 selcyst[c] + 1 h2o[c] -> 1 selcys[c] + 1 nh4[c] + 1 2obut[c]
R03225[c]	1 C03197[c] + 1 akg[c] <-> 1 acac[c] + 1 C01087[c]
FORCT1	1 forcoa[c] + 1 oxa[c] <-> 1 for[c] + 1 oxalcoa[c]
#aminoacyl-tRNA biosynthesis
GLNTRAT1	1 glntrna[im] + 1 glu__L[im] + 1 pi[im] + 1 adp[im] <-> 1 glutrna_gln[im] + 1 gln__L[im] + 1 atp[im] + 1 h2o[im]
TRPTRS1	1 atp[im] + 1 trp__L[im] + 1 trnatrp[im] <-> 1 amp[im] + 1 ppi[im] + 1 trptrna[im]
#cyanoamino acid metabolism
R07638[im]	1 C16075[im] <-> 1 C16074[im] + 1 h2o[im]
#Lipoic Acid Metabolism
R07769[im]	1 C16239[im] + 1 C16240[im] -> 1 C16237[im] + 1 ACP[im]
R07766[im]	1 C05752[im] + 1 C16240[im] -> 1 C16236[im] + 1 ACP[im]
#Linolenic Acid Metabolism
R07899[im]	1 C16339[im] + 1 accoa[im] <-> 1 coa[im] + 1 C16338[im]
R07055[im]	1 lnlc[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C14825[im] + 1 nadp[im] + 1 h2o[im]
R07056[im]	1 lnlc[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C14826[im] + 1 nadp[im] + 1 h2o[im]
#Arginine Biosynthesis
ASPTA1	1 asp__L[im] + 1 akg[im] -> 1 oaa[im] + 1 glu__L[im]
ALATA_L1	1 ala__L[im] + 1 akg[im] -> 1 pyr[im] + 1 glu__L[im]
R09107[im]	1 C15532[im] + 1 h2o[im] <-> 1 ac[im] + 1 citr__L[im]
ACOTA1	1 acorn[im] + 1 akg[im] <-> 1 acg5sa[im] + 1 glu__L[im]
#Glycine, serine, and threonine metabolism
SERD_L1	1 ser__L[im] -> 1 pyr[im] + 1 nh4[im]
R00945[im]	1 mlthf[im] + 1 gly[im] + 1 h2o[im] <-> 1 thf[im] + 1 ser__L[im]
#Histidine metabolism
R00254[im]	1 glu__L[im] + 1 nh4[im] + 1 co2[im] <-> 1 C05829[im] + 1 h2o[im]
#Alanine, Aspartate, Glutamine metabolism
ASNS21	1 atp[im] + 1 asp__L[im] + 1 nh4[im] -> 1 amp[im] + 1 ppi[im] + 1 asn__L[im]
#pyrimidine metabolism
NDPK4m1	1 atp[im] + 1 dtdp[im] -> 1 adp[im] + 1 dttp[im]
CTPS11	1 atp[im] + 1 utp[im] + 1 nh4[im] -> 1 adp[im] + 1 pi[im] + 1 ctp[im]
URIK21	1 gtp[im] + 1 uri[im] -> 1 gdp[im] + 1 ump[im]
DGTCY1	1 dgtp[c] + 1 cytd[c] -> 1 dgdp[c] + 1 cmp[c]
#Microbial metabolism in diverse environments
PDH1	1 coa[im] + 1 nad[im] + 1 pyr[im] -> 1 accoa[im] + 1 co2[im] + 1 nadh[im]
ALCD2x1	1 acald[im] + 1 nadh[im] + 1 h[im] <- 1 etoh[im] + 1 nad[im]
R02989[im]	1 3oxoadp[im] + 1 nadp[im] -> 1 C02222[im] + 1 nadph[im] + 1 h[im]
R02988[im]	1 3oxoadp[im] + 1 nad[im] -> 1 C02222[im] + 1 nadh[im] + 1 h[im]
R05259[im]	1 C06604[im] + 1 C03024[im] + 1 o2[im] <-> 1 C06606[im] + 1 C03161[im] + 1 s[im] + 1 h2o[im]
R05358[im]	1 C01998[im] + 2 h2o[im] <-> 1 acryl[im] + 1 nh4[im]
R05506[im]	1 C07118[im] + 1 coa[im] -> 1 benzcoa[im] + 1 accoa[im]
OGCOAAT1	1 3opimcoa[im] + 1 coa[im] -> 1 glutcoa[im] + 1 accoa[im]
R01067[im]	1 C00085[im] + 1 g3p[im] <-> 1 e4p[im] + 1 xu5p__D[im]
R07939[im]	1 C07481[im] + 1 nadph[im] + 1 o2[im] + 1 h[im] <-> 1 C13747[im] + 1 nadp[im] + 1 fald[im] + 1 h2o[im]
#Purine Metabolism
ADK1m1	1 atp[im] + 1 amp[im] -> 2 adp[im]
IMPD1	1 imp[im] + 1 nad[im] + 1 h2o[im] -> 1 xmp[im] + 1 nadh[im] + 1 h[im]
#CoA biosynthesis
R01226[im]	1 mlthf[im] + 1 3mob[im] + 1 h2o[im] -> 1 thf[im] + 1 2dhp[im]
#Glyoxylate and dicarboxylate metabolism
R01221[im]	1 gly[im] + 1 thf[im] + 1 nad[im] -> 1 mlthf[im] + 1 nh4[im] + 1 co2[im] + 1 nadh[im] + 1 h[im]
#Xenobiotic Metabolism
R07021[im]	1 C14040[im] + 1 nadph[im] + 1 o2[im] + 1 h[im] <-> 1 C14802[im] + 1 nadp[im] + 1 h2o[im]
R07022[im]	1 C14040[im] + 1 nadph[im] + 1 o2[im] + 1 h[im] <-> 1 C14800[im] + 1 nadp[im] + 1 h2o[im]
R07000[im]	1 C00829[im] + 1 nadph[im] + 1 o2[im] + 1 h[im] <-> 1 C14786[im] + 1 nadp[im] + 1 h2o[im]
R07001[im]	1 C00829[im] + 1 nadph[im] + 1 o2[im] + 1 h[im] <-> 1 C14787[im] + 1 nadp[im] + 1 h2o[im]
R07085[im]	1 C14852[im] + 1 nadph[im] + 1 o2[im] + 1 h[im] <-> 1 C14853[im] + 1 nadp[im] + 1 h2o[im]
R07087[im]	1 C14556[im] + 1 nadph[im] + 1 o2[im] + 1 h[im] <-> 1 C14854[im] + 1 nadp[im] + 1 h2o[im]
R07098[im]	1 C06790[im] + 1 nadph[im] + 1 o2[im] + 1 h[im] <-> 1 C11148[im] + 1 nadp[im] + 1 h2o[im]
R07099[im]	1 C06790[im] + 1 nadph[im] + 1 o2[im] + 1 h[im] <-> 1 C14866[im] + 1 nadp[im] + 1 h2o[im]
R07079[im]	1 C07535[im] + 1 nadph[im] + 1 o2[im] + 1 h[im] <-> 1 C14849[im] + 1 nadp[im] + 1 h2o[im]
R07080[im]	1 C07535[im] + 1 nadph[im] + 1 o2[im] + 1 h[im] <-> 1 C14850[im] + 1 nadp[im] + 1 h2o[im]
R07081[im]	1 C07535[im] + 1 nadph[im] + 1 o2[im] + 1 h[im] <-> 1 C14851[im] + 1 nadp[im] + 1 h2o[im]
R09404[im]	1 C06800[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C19585[im] + 1 h2o[im] + 1 nadp[im]
R09405[im]	1 C06800[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C16756[im] + 1 h2o[im] + 1 nadp[im]
R09406[im]	1 C16756[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C19594[im] + 1 h2o[im] + 1 nadp[im]
R09407[im]	1 C06800[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C19595[im] + 1 h2o[im] + 1 nadp[im]
R09408[im]	1 C06800[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C19586[im] + 1 h2o[im] + 1 nadp[im]
R09418[im]	1 C19490[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C19559[im] + 1 h2o[im] + 1 nadp[im]
R09416[im]	1 CN0020[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C19489[im] + 1 h2o[im] + 1 nadp[im]
R09421[im]	1 C16453[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C19563[im] + 1 h2o[im] + 1 nadp[im]
R09423[im]	1 C16453[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C19566[im] + 1 h2o[im] + 1 nadp[im]
R09424[im]	1 C19574[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C19577[im] + 1 h2o[im] + 1 nadp[im]
R09425[im]	1 C19574[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C19580[im] + 1 h2o[im] + 1 nadp[im]
R09442[im]	1 CN0020[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C19604[im] + 1 h2o[im] + 1 nadp[im]
#Valine, Leucine, and Isoleucine degredation
VALTA1	1 val__L[im] + 1 akg[im] <-> 1 3mob[im] + 1 glu__L[im]
AACOAT1	1 atp[im] + 1 acac[im] + 1 coa[im] -> 1 amp[im] + 1 ppi[im] + 1 aacoa[im]
#Valine, Leucine, and Isoleucine synthesis
R04441[im]	1 23dhmb[im] -> 1 3mob[im] + 1 h2o[im]
R05071[im]	1 alac__S[im] <-> 1 3hmoa[im]
#Ubiquinone metabolism
R07235[im]	1 amet[im] + 1 C03226[im] <-> 1 ahcys[im] + 1 C01967[im]
3DH5HPBMTm1	1 amet[im] + 1 3dh5hpb[im] <-> 1 ahcys[im] + 1 3hph5mb[im]
R04983[im]	1 C05803[im] + 1 amet[im] <-> 1 C05804[im] + 1 ahcys[im]
URFGTT1	1 2ombz[im] + 1 amet[im] <-> 1 2ommb[im] + 1 ahcys[im]
R02175[im]	1 C05805[im] + 1 amet[im] <-> 1 q6[im] + 1 ahcys[im]
#Folate synthesis 
R04241[im]	1 atp[im] + 1 glu__L[im] <-> 1 adp[im] + 1 pi[im] + 1 C03541[im]
DHFS1	1 atp[im] + 1 dhpt[im] + 1 glu__L[im] -> 1 adp[im] + 1 pi[im] + 1 dhf[im]
#Terpenoid synthesis
MEVK1x1	1 atp[im] + 1 mev__R[im] <-> 1 adp[im] + 1 5pmev[im]
#Steroid hormone synthesis
R03408[im]	1 dhea[im] + 1 h[im] + 1 o2[im] + 1 nadph[im] <-> 1 C05139[im] + 1 nadp[im] + 1 h2o[im]
R03088[im]	1 estradiol[im] + 1 h[im] + 1 o2[im] + 1 nadh[im] -> 1 C05301[im] + 1 nad[im] + 1 h2o[im]
R03089[im]	1 estradiol[im] + 1 h[im] + 1 o2[im] + 1 nadph[im] <-> 1 estriol[im] + 1 nadp[im] + 1 h2o[im]
RE3013R1	1 estradiol[im] + 1 h[im] + 1 o2[im] + 1 nadph[im] -> 1 C05301[im] + 1 nadp[im] + 1 h2o[im]
RE1630R1	1 C05298[im] + 1 amet[im] <-> 1 C05299[im] + 1 ahcys[im]
RE2386C1	1 C05301[im] + 1 amet[im] <-> 1 C05302[im] + 1 ahcys[im]
R02354[im]	1 estrone[im] + 1 h[im] + 1 o2[im] + 1 nadh[im] -> 1 C05298[im] + 1 nad[im] + 1 h2o[im]
RE1587C1	1 estrone[im] + 1 h[im] + 1 o2[im] + 1 nadph[im] -> 1 C05298[im] + 1 nadp[im] + 1 h2o[im]
RE2235C1	1 estrone[im] + 1 h[im] + 1 o2[im] + 1 nadph[im] <-> 1 C05300[im] + 1 nadp[im] + 1 h2o[im]
R02503[im]	1 C00535[im] + 1 C03024[im] + 1 o2[im] <-> 1 C05291[im] + 1 C03161[im] + 1 h2o[im]
#Lysine degredation
BBHOX1	1 gbbtn[im] + 1 akg[im] + 1 o2[im] <-> 1 C00487[im] + 1 succ[im] + 1 co2[im]
#Steroid biosynthesis
R03689[im]	1 lanost[im] + 1 nadph[im] + 1 h[im] <-> 1 C05109[im] + 1 nadp[im]
R07507[im]	1 C05107[im] + 1 nadph[im] + 1 h[im] <-> 1 C01164[im] + 1 nadp[im]
ZYMSTR1	1 zymst[im] + 1 nadph[im] + 1 h[im] <-> 1 zymstnl[im] + 1 nadp[im]
R07499[im]	1 C05108[im] + 1 nadph[im] + 1 h[im] <-> 1 CE2314[im] + 1 nadp[im]
#C5 dibase acid synthesis
ITCOALm1	1 atp[im] + 1 itacon[im] + 1 coa[im] -> 1 adp[im] + 1 pi[im] + 1 itaccoa[im]
#Tyrosine metabolism
R03304[im]	1 amet[im] + 1 34dhpacet[im] <-> 1 ahcys[im] + 1 C05582[im]
R04887[im]	1 amet[im] + 1 C05580[im] <-> 1 ahcys[im] + 1 C05584[im]
R04881[im]	1 amet[im] + 1 34dhoxpeg[im] <-> 1 ahcys[im] + 1 C05594[im]
SALMCOM1	1 amet[im] + 1 nrpphr[im] <-> 1 ahcys[im] + 1 normete__L[im]
#Tryptophane metabolism
R03936[im]	1 Lfmkynr[im] + 1 h2o[im] <-> 1 C05653[im] + 1 ala__L[im]
R03629[im]	1 C01598[im] + 1 C03024[im] + 1 o2[im] <-> 1 C05643[im] + 1 C03161[im] + 1 h2o[im]
R04909[im]	1 5hxkynam[im] + 1 co2[im] <-> 1 C05651[im]
HKYNH1	1 hLkynr[im] + 1 h2o[im] <-> 1 3hanthrn[im] + 1 ala__L[im]
#Synthesis of antibiotics
R06590[im]	1 C12214[im] + 1 C00117[im] <-> 1 C12215[im] + 1 s7p[im]
G5SD1	1 glu5sa[im] + 1 pi[im] + 1 nadp[im] <-> 1 glu5p[im] + 1 nadph[im] + 1 h[im]
AKGDm1	1 akg[im] + 1 coa[im] + 1 nad[im] -> 1 succoa[im] + 1 co2[im] + 1 nadh[im] + 1 h[im]
#Retinol Metabolism
R08390[im]	1 retn[im] + 1 nadph[im] + 1 h[im] + 1 o2[im] <-> 1 C16679[im] + 1 nadp[im] + 1 h2o[im]
R08391[im]	1 retn[im] + 1 nadph[im] + 1 h[im] + 1 o2[im] <-> 1 CE2953[im] + 1 nadp[im] + 1 h2o[im]
R08392[im]	1 retn[im] + 1 nadph[im] + 1 h[im] + 1 o2[im] <-> 1 C16677[im] + 1 nadp[im] + 1 h2o[im]
#Drug metabolism - cytochrome P450
R03697[im]	1 C01516[im] + 1 C03161[im] + 1 fald[im] + 1 h2o[im] <-> 1 C06174[im] + 1 C03024[im] + 1 o2[im]
R08312[im]	1 C06868[im] + 1 nadph[im] + 1 h[im] + 1 o2[im] <-> 1 C07496[im] + 1 nadp[im] + 1 h2o[im]
R08343[im]	1 C07572[im] <-> 1 dmcital[im]
R08344[im]	1 C07572[im] <-> 1 citalo[im]
R08345[im]	1 dmcital[im] <-> 1 ddmcital[im]
R08286[im]	1 C07047[im] <-> 1 C16550[im] + 1 C06754[im]
R08287[im]	1 C07047[im] <-> 1 C16555[im] + 1 C06754[im]
R08293[im]	1 lido[im] <-> 1 meglyxyl[im]
LIDOMO1	1 lido[im] + 1 nadph[im] + 1 o2[im] + 1 h[im] <-> 1 3hlido[im] + 1 nadp[im] + 1 h2o[im]
R08265[im]	1 C01516[im] + 1 C03024[im] + 1 o2[im] <-> 1 C11785[im] + 1 fald[im] + 1 C03161[im] + 1 h2o[im]
#Hypotaurin emetabolism
TAUDO1	1 taur[im] + 1 akg[im] + 1 o2[im] <-> 1 so3[im] + 1 aacald[im] + 1 succ[im] + 1 co2[im]
#Butanoate Metabolism
R02946[im]	1 C03044[im] + 1 nad[im] <-> 1 actn__R[im] + 1 nadh[im] + 1 h[im]
#Inositol phosphate metabolism
R03361[im]	1 atp[im] + 1 pail_cho[im] <-> 1 adp[im] + 1 pail4p_cho[im]
#Arachidonic acid metabolism
R07041[im]	1 C00219[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C14748[im] + 1 nadp[im] + 1 h2o[im]
R07042[im]	1 C05966[im] <-> 1 C14781[im]
R07043[im]	1 C05966[im] <-> 1 C14813[im]
R07044[im]	1 C14781[im] + 1 h2o[im] <-> 1 C14782[im]
R07045[im]	1 C14813[im] + 1 h2o[im] <-> 1 C14814[im]
R07046[im]	1 C00219[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C14749[im] + 1 nadp[im] + 1 h2o[im]
R07048[im]	1 C00219[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C14771[im] + 1 nadp[im] + 1 h2o[im]
R07050[im]	1 C00219[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C14770[im] + 1 nadp[im] + 1 h2o[im]
R07051[im]	1 C00219[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C14769[im] + 1 nadp[im] + 1 h2o[im]
R07052[im]	1 C00219[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C14768[im] + 1 nadp[im] + 1 h2o[im]
R07054[im]	1 C00219[im] + 1 o2[im] + 1 nadph[im] + 1 h[im] <-> 1 C14778[im] + 1 nadp[im] + 1 h2o[im]
#Cysteine and methionine metabolism
MTRI1	1 5mdr1p[im] <-> 1 5mdru1p[im]
ARD_11	1 dhmtp[im] + 1 o2[im] <-> 1 2kmb[im] + 1 for[im]
#Glycolysis
PDCh1	1 2ahethmpp[im] -> 1 acald[im] + 1 thmpp[im]
#Miscellaneous mitochondrial reactions
R03222[im]	3 o2[im] + 1 pppg9[im] -> 3 h2o[im] + 1 ppp9[im]
CCP1	2 focytcc553[im] + 1 h2o2[im] -> 2 ficytC[im] + 2 h2o[im]
R01209[im]	1 C04039[im] -> 1 3mob[im] + 1 h2o[im]
R03051[im]	1 C00900[im] + 1 nadph[im] + 1 h[im] -> 1 C04039[im] + 1 nadp[im]
R00157[im]	1 utp[im] + 1 amp[im] <-> 1 udp[im] + 1 adp[im]
PPAm1	1 ppi[im] + 1 h2o[im] <-> 1 pi[im]
R00081[im]	1 o2[im] + 4 focytcc553[im] + 4 h[im] -> 4 ficytC[im] + 2 h2o[im]
R00057[im]	1 o2[im] + 2 C01525[im] <-> 1 C02318[im] + 1 h2o2[im]
R00381[im]	1 atp[im] + 1 C02128[im] -> 1 amp[im] + 1 ppi[im]
R00390[im]	1 atp[im] + 1 C00347[im] + 1 coa[im] -> 1 amp[im] + 1 ppi[im] + 1 accoa[im]
R00597[im]	1 amet[im] + 1 C01977[im] <-> 1 ahcys[im] + 1 C04157[im]
R00827[im]	1 amet[im] + 1 catechol[im] <-> 1 ahcys[im] + 1 C01502[im]
2DHPFALDL1	1 2dhp[im] <-> 1 3mob[im] + 1 fald[im]
R09737[im]	1 amet[im] + 1 C19858[im] <-> 1 ahcys[im] + 1 C19859[im]
R10092[im]	1 hco3[im] + 1 h[im] <-> 1 co2[im] + 1 h2o[im]
R10159[im]	2 adfdRD[im] + 1 nadp[im] + 1 h[im] <-> 2 C00667[im] + 1 nadph[im]
R10288[im]	1 atp[im] + 1 C04899[im] <-> 1 adp[im] + 1 pi[im] + 1 nadph[im]
R10648[im]	1 C20641[im] + 1 C17324[im] <-> 1 amp[im] + 1 C20751[im]
R10845[im]	1 C20895[im] + 1 akg[im] <-> 1 C20646[im] + 1 glu__L[im]
TRDR1	1 trdrd[im] + 1 nadp[im] <-> 1 trdox[im] + 1 nadph[im] + 1 h[im]
R01654[im]	1 atp[im] + 1 10fthf[im] + 1 glu__L[im] <-> 1 adp[im] + 1 pi[im] + 1 C05928[im]
ACPh1	1 13dpg[im] + 1 h2o[im] <-> 1 3pg[im] + 1 pi[im]
R02161[im]	1 C00390[im] + 2 ficytC[im] -> 1 C00399[im] + 2 focytcc553[im] + 2 h[im]
R02163[im]	1 C00390[im] + 1 nad[im] -> 1 C00399[im] + 1 nadh[im] + 1 h[im]
R02807[im]	1 C01319[im] + 1 nadp[im] + 1 h[im] <-> 1 hg2[im] + 1 nadph[im]
R07606[im]	1 met__L[im] + 1 trdox[im] + 1 h2o[im] <-> 1 C15999[im] + 1 trdrd[im]
R06134[im]	1 C00241[im] + 1 h2o[im] <-> 1 h[im] + 1 Rtotal[im] + 1 nh4[im]
R05197[im]	1 atp[im] + 1 C05928[im] + 1 glu__L[im] <-> 1 adp[im] + 1 pi[im] + 1 C05929[im]
R05190[im]	1 accoa[im] + 1 malcoa[im] + 2 nadph[im] + 4 h[im] <-> 1 C02843[im] + 1 coa[im] + 1 co2[im] + 2 nadp[im] + 1 h2o[im]
R04673[im]	1 2obut[im] + 1 2ahethmpp[im] <-> 1 2ahbut[im] + 1 thmpp[im]
R04672[im]	1 alac__S[im] + 1 thmpp[im] <-> 1 2ahethmpp[im] + 1 pyr[im]
R04710[im]	1 h[im] + 1 amet[im] + 1 C05196[im] + 1 C05197[im] <-> 1 dad_5[im] + 1 met__L[im] + 1 C05199[im] + 1 C05312[im]
R03449[im]	1 atp[im] + 1 C01256[im] <-> 1 adp[im] + 1 C01293[im]
SELTORc1	1 slnt[im] + 6 fdxrd[im] + 8 h[im] -> 1 seln[im] + 6 fdxox[im] + 3 h2o[im]
R02879[im]	1 C01387[im] + 2 rbrdxRD[im] + 1 o2[im] + 2 h[im] <-> 1 C00756[im] + 2 rbrdxOX[im] + 1 h2o[im]
R03050[im]	1 2ahethmpp[im] + 1 pyr[im] -> 1 C00900[im] + 1 thmpp[im]
R07330[im]	1 amet[im] + 1 C15571[im] <-> 1 ahcys[im] + 1 C15572[im]
FORCT1	1 forcoa[im] + 1 oxa[im] <-> 1 for[im] + 1 oxalcoa[im]
R04433[im]	1 C04570[im] + 1 C00399[im] <-> 1 C04253[im] + 1 C00390[im]
